Job Title,Company,Location,Salary,Experience,Posted Date,Job URL,Salary_num,City
Junior Talent Acquisition Executive,Plastene India Limited,Ahmedabad,"₹ 2,50,000 - 3,00,000",1,1,https://internshala.com/job/detail/junior-talent-acquisition-executive-job-in-ahmedabad-at-plastene-india-limited1767009057,2.0,Ahmedabad
Instagram Live Sales Executive (Female Candidates Only),603 The CoWorking Space India,"Mumbai,Bandra","₹ 2,50,000 - 3,00,000",1,2,https://internshala.com/job/detail/instagram-live-sales-executive-female-candidates-only-job-in-multiple-locations-at-603-the-coworking-space-india1766387594,2.0,Mumbai
Human Resources (HR) Trainee,DCB Bank,Mumbai,"₹ 2,50,000",0,2,https://internshala.com/job/detail/fresher-human-resources-hr-trainee-job-in-mumbai-at-dcb-bank1766383206,2.0,Mumbai
Social Media Handler,Ifield,Jaipur,"₹ 2,40,000 - 6,00,000",1,3,https://internshala.com/job/detail/social-media-handler-job-in-jaipur-at-ifield1765870643,2.0,Jaipur
Human Resources (HR) Associate,Mastek India,Navi Mumbai,"₹ 2,40,000 - 4,00,000",1,3,https://internshala.com/job/detail/human-resources-hr-associate-job-in-navi-mumbai-at-mastek-india1765290727,2.0,Navi Mumbai
Social Media Executive,603 The CoWorking Space India,Mumbai,"₹ 2,40,000 - 3,00,000",1,1,https://internshala.com/job/detail/social-media-executive-job-in-multiple-locations-at-603-the-coworking-space-india1766986237,2.0,Mumbai
"EA To Director & Head HR (SVV, SVU & SAV)",Somaiya Vidyavihar,Mumbai,"₹ 2,40,000 - 3,00,000",1,3,https://internshala.com/job/detail/ea-to-director-head-hr-svv-svu-sav-job-in-mumbai-at-somaiya-vidyavihar1765314748,2.0,Mumbai
Social Media Sales & Support Executive,603 The CoWorking Space India,"Mumbai,Bandra","₹ 2,40,000 - 2,50,000",1,2,https://internshala.com/job/detail/social-media-sales-support-executive-job-in-multiple-locations-at-603-the-coworking-space-india1766391354,2.0,Mumbai
Business Development Executive,Zucol Group Of Companies,Pune,"₹ 2,40,000 - 2,50,000",0,2,https://internshala.com/job/detail/fresher-business-development-executive-job-in-pune-at-zucol-group-of-companies1766251507,2.0,Pune
Customer Chat Representative,603 The CoWorking Space India,"Mumbai,Bandra","₹ 2,40,000 - 2,50,000",1,2,https://internshala.com/job/detail/customer-chat-representative-job-in-multiple-locations-at-603-the-coworking-space-india1766391268,2.0,Mumbai
Customer Retention Officer,Bharat Financial Inclusion Limited,"Banswara,Rajsamand,Sirohi,Udaipur,Dungarpur,Jalore,Barmer(Hybrid)","₹ 2,36,000 - 3,00,970",0,1,https://internshala.com/job/detail/fresher-customer-retention-officer-job-in-multiple-locations-at-bharat-financial-inclusion-limited1767007005,2.0,Banswara
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Chennai,"₹ 2,30,000 - 2,85,000",0,3,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-chennai-at-bharti-axa-life-insurance-company-limited1765436537,2.0,Chennai
Customer Service Executive,RebootXP,Noida,"₹ 2,24,000 - 3,48,000",0,0,https://internshala.com/job/detail/fresher-customer-service-executive-job-in-noida-at-rebootxp1767769524,2.0,Noida
Business Development Associate,Tutopia Private Limited,Kolkata,"₹ 2,16,474 - 3,00,000",1,2,https://internshala.com/job/detail/business-development-associate-job-in-kolkata-at-tutopia-private-limited1766575749,2.0,Kolkata
Sales Expert,NoBroker Technologies Solutions Private Limited,Work from home,"₹ 2,10,000 - 3,80,000",0,1,https://internshala.com/job/detail/fresher-remote-sales-expert-job-at-nobroker-technologies-solutions-private-limited1766742519,2.0,Work from home
Telecaller,Kevin Pinto,Pune,"₹ 2,10,000 - 3,20,000",0,1,https://internshala.com/job/detail/fresher-telecaller-job-in-pune-at-kevin-pinto1766983589,2.0,Pune
Production Trainee (Jewelry Industry),Emerald Jewel Industry India Limited,Mumbai,"₹ 2,08,000",0,1,https://internshala.com/job/detail/fresher-production-trainee-jewelry-industry-job-in-mumbai-at-emerald-jewel-industry-india-limited1767096992,2.0,Mumbai
Back Office Executive,Writer Information,"Navi Mumbai,Mumbai","₹ 2,02,000 - 2,22,000",0,3,https://internshala.com/job/detail/fresher-back-office-executive-job-in-multiple-locations-at-writer-information1765969345,2.0,Navi Mumbai
Sales Executive,UBI Services Limited,"Angul,Rourkela,Sambalpur,Jharsuguda","₹ 2,01,000 - 3,05,000",0,3,https://internshala.com/job/detail/fresher-sales-executive-job-in-multiple-locations-at-ubi-services-limited1765522546,2.0,Angul
Recruitment Associate,Blackbuck (Zinka Logistics Solutions Private Limited),Bangalore,"₹ 2,01,000 - 2,52,000",1,3,https://internshala.com/job/detail/recruitment-associate-job-in-bangalore-at-blackbuck-zinka-logistics-solutions-private-limited1765887615,2.0,Bangalore
Customer Service Associate,Altruist Technologies Limited,Panchkula,"₹ 2,01,000 - 2,16,000",0,7,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-panchkula-at-altruist-technologies-limited1767184575,2.0,Panchkula
Recruiter,Foundit India (formerly Monster APAC & ME),Noida,"₹ 2,00,000 - 3,50,000",1,2,https://internshala.com/job/detail/recruiter-job-in-noida-at-foundit-india-formerly-monster-apac-me1766044509,2.0,Noida
Customer Support,V5 Global Services,"Pune,Noida","₹ 2,00,000 - 3,00,000",1,3,https://internshala.com/job/detail/customer-support-job-in-multiple-locations-at-v5-global-services1765278627,2.0,Pune
Telecaller,Spacewood Furnishers Private Limited,Gurgaon,"₹ 2,00,000 - 3,00,000",0,2,https://internshala.com/job/detail/fresher-telecaller-job-in-gurgaon-at-spacewood-furnishers-private-limited1766354818,2.0,Gurgaon
Customer Support Executive,FreshMenu,Bangalore,"₹ 2,00,000 - 2,90,000",0,1,https://internshala.com/job/detail/fresher-customer-support-executive-job-in-bangalore-at-freshmenu1767004992,2.0,Bangalore
IT Service Desk Analyst (BSc- Math/IT/CS Freshers),Jade Global Software Private Limited,Hyderabad,"₹ 2,00,000 - 2,80,000",0,2,https://internshala.com/job/detail/fresher-it-service-desk-analyst-bsc-math-it-cs-freshers-job-in-hyderabad-at-jade-global-software-private-limited1766571424,2.0,Hyderabad
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Chandigarh,"₹ 2,00,000 - 2,50,000",0,3,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-chandigarh-at-bharti-axa-life-insurance-company-limited1765650690,2.0,Chandigarh
Accountant,ZUCOL Solutions Private Limited,Jaipur,"₹ 2,00,000 - 2,50,000",1,3,https://internshala.com/job/detail/accountant-job-in-jaipur-at-zucol-solutions-private-limited1765345648,2.0,Jaipur
Business Development Executive,ZUCOL Solutions Private Limited,Jaipur,"₹ 2,00,000 - 2,50,000",0,3,https://internshala.com/job/detail/fresher-business-development-executive-job-in-jaipur-at-zucol-solutions-private-limited1765280220,2.0,Jaipur
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Gurgaon,"₹ 2,00,000 - 2,50,000",0,3,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-gurgaon-at-bharti-axa-life-insurance-company-limited1765650511,2.0,Gurgaon
Corporate Sales Executive,Delcon Homes Private Limited,Patna,"₹ 2,00,000 - 2,50,000",0,3,https://internshala.com/job/detail/fresher-corporate-sales-executive-job-in-patna-at-delcon-homes-private-limited1764672225,2.0,Patna
Human Resources (HR) Executive,IREED Academy India Private Limited,Vishakhapatnam,"₹ 2,00,000 - 2,50,000",0,2,https://internshala.com/job/detail/fresher-human-resources-hr-executive-job-in-vishakhapatnam-at-ireed-academy-india-private-limited1767677046,2.0,Vishakhapatnam
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Trichey,"₹ 2,00,000 - 2,50,000",0,3,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-trichey-at-bharti-axa-life-insurance-company-limited1765539261,2.0,Trichey
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Visakhapatnam,"₹ 2,00,000 - 2,50,000",0,3,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-visakhapatnam-at-bharti-axa-life-insurance-company-limited1765532444,2.0,Visakhapatnam
Human Resources (HR) Associate,Fedbank Financial Services Private Limited,Mumbai,"₹ 2,00,000 - 2,40,000",0,2,https://internshala.com/job/detail/fresher-human-resources-hr-associate-job-in-mumbai-at-fedbank-financial-services-private-limited1766483858,2.0,Mumbai
Customer Service Associate,Bharti Axa Life Insurance Company Limited,Vijayawada,"₹ 2,00,000 - 2,25,000",0,3,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-vijayawada-at-bharti-axa-life-insurance-company-limited1765431343,2.0,Vijayawada
E-commerce Sales Executive,603 The CoWorking Space India,"Mumbai,Bandra","₹ 2,00,000 - 2,20,000",1,2,https://internshala.com/job/detail/e-commerce-sales-executive-job-in-multiple-locations-at-603-the-coworking-space-india1766470419,2.0,Mumbai
